ActivitySiteID_april_may,ActivityDescription,BookingEndDateTime (Month / Day / Year),BookingStartTime_april_may,MaxBookees_april_may,Number Booked_april_may,Price (INR)_april_may,ActivitySiteID_june,BookingStartTime_june,MaxBookees_june,Number Booked_june,Price (INR)_june
HXP,Pilates 13.45-14.45,2018-04-02,13:45:00,-0.48044471410388745,-0.5883949760166477,1.435792142793987,,,,,
HXP,Studio Cyc 11.30 - 12.20,2018-04-02,11:30:00,-0.3468395352568333,0.03528555443287367,0.18355084842977504,,,,,
HXP,Studio Cyc 12.30-1.20pm,2018-04-02,12:30:00,-0.3468395352568333,-0.06866120064204656,0.18355084842977504,,,,,
HXP,Studio Cyc 7.05-7.55am,2018-04-02,7:05:00,-0.3468395352568333,-0.1726079557169668,0.18355084842977504,,,,,
TSC,Yoga 1.45-2.45pm,2018-04-02,13:45:00,-0.5472473035274145,-1.4199690166160095,0.18355084842977504,,,,,
TSC,Yoga 12.45-1.45pm,2018-04-02,12:45:00,-0.5472473035274145,-1.0041819963163288,0.18355084842977504,,,,,
TSC,Yogalates 10.30-11.30am,2018-04-02,10:30:00,-0.5472473035274145,-0.7962884861664882,1.435792142793987,,,,,
NBL,20-20-20 9.30-10.30am,2018-04-03,9:30:00,1.85764591571956,2.530007676230959,-1.694811093116543,,,,,
BRP,20:20:20  10-11 Am,2018-04-03,10:00:00,0.18758118013138322,1.490540125481757,-1.694811093116543,,,,,
SBP,45min Madness 9.15-10am,2018-04-03,9:15:00,0.18758118013138322,-0.6923417310915679,-0.442569798752331,,,,,
TSC,5.30-6.30pm Body Cond,2018-04-03,17:30:00,-0.5472473035274145,-1.108128751391249,-0.442569798752331,,,,,
TSC,6.30-7.30pm Combat Aero,2018-04-03,18:30:00,-0.5472473035274145,-0.9002352412414084,-0.442569798752331,,,,,
SBP,Abs Blast 7.45-8.15am,2018-04-03,7:45:00,-0.8144576612215227,-1.4199690166160095,-1.068690445934437,,,,,
BRP,Aerobics,2018-04-03,19:30:00,0.18758118013138322,0.658966084882395,-1.3191387048072793,,,,,
SBP,Aqua Fit 3.00-3.50pm,2018-04-03,15:00:00,0.18758118013138322,1.1786998602569962,-1.068690445934437,,,,,
TSC,Aquafit 3.00-3.45pm,2018-04-03,15:00:00,-0.48044471410388745,-0.4844482209417275,-1.068690445934437,,,,,
BRP,Aquafit 7.00-8.00pm,2018-04-03,19:00:00,0.18758118013138322,1.5944868805566772,-1.068690445934437,,,,,
TSC,Aquafit 7.15-8.15pm,2018-04-03,19:15:00,-0.48044471410388745,0.03528555443287367,-1.068690445934437,,,,,
SBP,Body Balance 11-12pm,2018-04-03,11:00:00,0.18758118013138322,-0.7962884861664882,0.809671495611881,,,,,
SBP,Body Combat 7.00-8.00pm,2018-04-03,19:00:00,0.18758118013138322,1.490540125481757,-0.442569798752331,,,,,
SBP,Body Cond 5.00-6.00pm,2018-04-03,17:00:00,0.18758118013138322,0.03528555443287367,-0.6930180576251733,,,,,
NBL,Body Cond 6.30-7.30pm,2018-04-03,18:30:00,1.85764591571956,1.5944868805566772,-0.6930180576251733,,,,,
HXP,Body Condition 10 -11am,2018-04-03,10:00:00,-0.48044471410388745,-0.1726079557169668,-0.6930180576251733,,,,,
BRP,Body Conditioning,2018-04-03,18:30:00,0.18758118013138322,1.1786998602569962,-0.6930180576251733,,,,,
HXP,Bodycondition 12.30-13.30,2018-04-03,12:30:00,-0.48044471410388745,-1.108128751391249,-0.6930180576251733,,,,,
SBP,Circuits 7 -7.45 Am,2018-04-03,7:00:00,-0.8144576612215227,-0.3805014658668073,1.435792142793987,,,,,
TSC,Fitnes Pilate-11.00-12.00,2018-04-03,11:00:00,-0.5472473035274145,0.45107257473255463,1.435792142793987,,,,,
HXP,Gentle Keep Fit 2 -3.00pm,2018-04-03,14:00:00,-0.48044471410388745,-0.5883949760166477,-1.068690445934437,,,,,
TSC,Gentle Keep Fit 2 -3.00pm,2018-04-03,14:00:00,-0.1464317669862521,-1.3160222615410895,-1.068690445934437,,,,,
SBP,Hatton A B C 6-7.00pm,2018-04-03,18:00:00,-0.1464317669862521,-0.06866120064204656,0.18355084842977504,,,,,
TSC,Junior Gym 4-5pm 8-13yrs,2018-04-03,16:00:00,-1.4824835554567934,-1.7318092818407702,1.435792142793987,,,,,
SBP,Legs Bums Tums 10-11am,2018-04-03,10:00:00,0.18758118013138322,0.24317906458271413,0.18355084842977504,,,,,
NBL,Line Dance 10.45-11.45am,2018-04-03,10:45:00,2.5256718099548308,4.401049267579523,-0.442569798752331,,,,,
NBL,Line Dance 11.45-12.45pm,2018-04-03,11:45:00,2.5256718099548308,1.5944868805566772,-0.442569798752331,,,,,
NBL,Nice & Easy 10.00-10.45am,2018-04-03,10:00:00,0.5215941272490185,-0.1726079557169668,-1.068690445934437,,,,,
HXP,Pilates   9.00-10.00am,2018-04-03,9:00:00,-0.48044471410388745,0.5550193298074748,1.435792142793987,,,,,
NBL,Pilates 1.45-2.45pm,2018-04-03,13:45:00,1.85764591571956,2.2181674110061986,1.435792142793987,,,,,
BRP,Pilates 11.00-12.00 Noon,2018-04-03,11:00:00,0.18758118013138322,1.8023803907065177,1.435792142793987,,,,,
SBP,Pilates 8.00pm-9.00pm,2018-04-03,20:00:00,0.18758118013138322,1.3865933704068367,1.435792142793987,,,,,
NBL,Pump  8.15-9.15pm,2018-04-03,20:15:00,1.85764591571956,-0.06866120064204656,1.435792142793987,,,,,
NBL,Sh`Bam  7.30-8.15pm,2018-04-03,19:30:00,2.5256718099548308,1.2826466153319165,-1.068690445934437,,,,,
NBL,Step Aerobics 5.45-6.30pm,2018-04-03,17:45:00,1.85764591571956,0.3471258196576344,0.18355084842977504,,,,,
TSC,Step- 10.00-11.00am,2018-04-03,10:00:00,-0.8144576612215227,-0.3805014658668073,0.18355084842977504,,,,,
BRP,Stretch And Tone 12-1pm,2018-04-03,12:00:00,0.18758118013138322,-0.5883949760166477,-0.442569798752331,,,,,
HXP,Studio Cyc 5.00-5.50pm,2018-04-03,17:00:00,-0.3468395352568333,0.7629128399573153,0.18355084842977504,,,,,
HXP,Studio Cyc 7.30-8.20pm,2018-04-03,19:30:00,-0.3468395352568333,0.9708063501071558,0.18355084842977504,,,,,
HXP,Studio Cycling 7.05 -7.55,2018-04-03,7:05:00,-0.3468395352568333,-0.5883949760166477,0.18355084842977504,,,,,
BRP,Swimfit 7am-8am,2018-04-03,7:00:00,-1.148470608339158,-0.9002352412414084,-0.442569798752331,,,,,
TSC,Yogalates 7.45-8.30pm,2018-04-03,19:30:00,-0.5472473035274145,0.03528555443287367,1.435792142793987,,,,,
BRP,Zumba,2018-04-03,17:30:00,0.18758118013138322,0.7629128399573153,-0.6930180576251733,,,,,
HXP,Zumba 6.15-7.15pm,2018-04-03,18:15:00,-0.48044471410388745,0.7629128399573153,-0.6930180576251733,,,,,
NBL,Zumba Gold 12.45-1.45pm,2018-04-03,12:45:00,1.85764591571956,2.6339544313058796,0.18355084842977504,,,,,
TSC,20-20-20 7.00-8.00pm,2018-04-04,19:00:00,-0.5472473035274145,-0.7962884861664882,-1.694811093116543,,,,,
SBP,20-20-20 9.30-10.30am,2018-04-04,9:30:00,0.18758118013138322,0.03528555443287367,-1.694811093116543,,,,,
BRP,Aqua Fit 2.45 -3.45pm,2018-04-04,14:45:00,0.18758118013138322,0.658966084882395,-1.068690445934437,,,,,
BRP,Aqua Tots 11.00-11.30am,2018-04-04,11:00:00,-1.4824835554567934,-1.62786252676585,-1.068690445934437,,,,,
BRP,Aquababies 10.30-11.00am,2018-04-04,10:30:00,-1.4824835554567934,-1.2120755064661692,-0.442569798752331,,,,,
SBP,Aquafit 6.00-7.00pm,2018-04-04,18:00:00,0.18758118013138322,1.8023803907065177,-1.068690445934437,,,,,
BRP,Aquatots/baby 11.30-12.00,2018-04-04,11:30:00,-1.4824835554567934,-1.2120755064661692,-0.442569798752331,,,,,
BRP,Bodsculp Aero 10.30-11.30,2018-04-04,10:30:00,0.18758118013138322,-0.1726079557169668,0.18355084842977504,,,,,
BRP,Body Attack 5.30 -6.30pm,2018-04-04,17:30:00,0.18758118013138322,1.5944868805566772,0.18355084842977504,,,,,
SBP,Body Balance 7pm-8pm,2018-04-04,19:00:00,0.18758118013138322,1.2826466153319165,0.809671495611881,,,,,
SBP,Body Combat 5.00-6.00pm,2018-04-04,17:00:00,0.18758118013138322,1.3865933704068367,-0.442569798752331,,,,,
NBL,Body Combat 5.45-6.45pm,2018-04-04,17:45:00,1.85764591571956,0.13923230950779392,-0.442569798752331,,,,,
TSC,Body Con 11.30am-12.30pm,2018-04-04,11:30:00,-0.5472473035274145,-1.2120755064661692,-0.6930180576251733,,,,,
BRP,Body Con 4.30-5.30pm,2018-04-04,16:30:00,0.18758118013138322,0.8668595950322355,-0.6930180576251733,,,,,
SBP,Body Cond 10.30-11.30am,2018-04-04,10:30:00,0.18758118013138322,0.24317906458271413,-0.6930180576251733,,,,,
BRP,Body Cond 12.00-12.45pm,2018-04-04,12:00:00,0.18758118013138322,0.03528555443287367,-0.6930180576251733,,,,,
HXP,Body Cond 7.30-8.30pm,2018-04-04,19:30:00,-0.48044471410388745,-0.06866120064204656,-0.6930180576251733,,,,,
HXP,Body Conditioning 10-11am,2018-04-04,10:00:00,-0.48044471410388745,-0.3805014658668073,-0.6930180576251733,,,,,
SBP,Fusion   6.00-7.00pm,2018-04-04,18:00:00,0.5215941272490185,1.074753105182076,-1.068690445934437,,,,,
TSC,Gentle Keep Fit 2 -3.00pm,2018-04-04,14:00:00,-0.1464317669862521,-0.7962884861664882,-1.068690445934437,,,,,
BRP,H.I.I.T 7.00-8.00am,2018-04-04,7:00:00,0.18758118013138322,-0.7962884861664882,0.809671495611881,,,,,
HXP,H.I.I.T. 6.25-7.25pm,2018-04-04,18:25:00,-0.48044471410388745,0.24317906458271413,0.809671495611881,,,,,
BRP,Jnr Gym Ind 3.30-4.00pm,2018-04-04,15:30:00,-2.01690427084501,-1.62786252676585,2.6880334371581993,,,,,
TSC,Legs Bums Tum 6.00-7.00pm,2018-04-04,18:00:00,-0.5472473035274145,-0.27655471079188704,0.18355084842977504,,,,,
HXP,Line Dancing 1.15-2.00pm,2018-04-04,13:15:00,-0.7476550717979957,0.13923230950779392,-0.442569798752331,,,,,
HXP,Line Dancing 2pm -3pm,2018-04-04,14:00:00,-0.7476550717979957,-0.4844482209417275,-0.442569798752331,,,,,
TSC,Metafit 5.30-6.00pm,2018-04-04,17:30:00,-0.5472473035274145,-0.4844482209417275,0.18355084842977504,,,,,
NBL,Nice & Easy 9.15-10.15am,2018-04-04,9:15:00,1.85764591571956,0.24317906458271413,-1.068690445934437,,,,,
BRP,Nice N Easy 9.30-10.30am,2018-04-04,9:30:00,0.18758118013138322,0.13923230950779392,-1.068690445934437,,,,,
BRP,Pilates 1.45-2.45pm,2018-04-04,13:45:00,0.18758118013138322,0.45107257473255463,1.435792142793987,,,,,
NBL,Pilates 5.00-5.45pm,2018-04-04,17:00:00,1.85764591571956,1.8023803907065177,1.435792142793987,,,,,
BRP,Pilates 7.30-8.30pm,2018-04-04,19:30:00,0.18758118013138322,-0.1726079557169668,1.435792142793987,,,,,
HXP,Pilates 9-10am,2018-04-04,9:00:00,-0.48044471410388745,0.3471258196576344,1.435792142793987,,,,,
TSC,Pilates 9.30-10.30am,2018-04-04,9:30:00,-0.5472473035274145,0.658966084882395,1.435792142793987,,,,,
NBL,Power Yoga 10.15-11.15am,2018-04-04,10:15:00,1.85764591571956,0.24317906458271413,0.809671495611881,,,,,
SBP,Pure Stretch 8-9pm,2018-04-04,20:00:00,0.18758118013138322,-0.4844482209417275,-1.068690445934437,,,,,
HXP,Rock Roll Dancing 3 - 4pm,2018-04-04,15:00:00,-0.5472473035274145,-0.6923417310915679,0.18355084842977504,,,,,
NBL,Strength&stretch1230-1330,2018-04-04,12:30:00,1.85764591571956,-1.0041819963163288,1.435792142793987,,,,,
SBP,Stretch   11.30-12.30pm,2018-04-04,11:30:00,0.18758118013138322,-0.1726079557169668,-1.068690445934437,,,,,
TSC,Stretch Ntone12.30-1.30pm,2018-04-04,12:30:00,-0.5472473035274145,-0.9002352412414084,-0.442569798752331,,,,,
HXP,Strokeskills 6 -7pm,2018-04-04,18:00:00,-1.148470608339158,-1.2120755064661692,1.435792142793987,,,,,
BRP,Strokeskills 7pm -8pm,2018-04-04,19:00:00,-1.4824835554567934,-1.108128751391249,1.435792142793987,,,,,
HXP,Studio Cyc 12.10-1.00pm,2018-04-04,12:10:00,-0.3468395352568333,0.03528555443287367,0.18355084842977504,,,,,
HXP,Studio Cyc 4.20-5.10pm,2018-04-04,16:20:00,-0.3468395352568333,0.9708063501071558,0.18355084842977504,,,,,
HXP,Studio Cyc 5.20-6.10pm,2018-04-04,17:20:00,-0.3468395352568333,0.03528555443287367,0.18355084842977504,,,,,
HXP,Studio Cyc 7.05-7.55am,2018-04-04,7:05:00,-0.3468395352568333,0.24317906458271413,0.18355084842977504,,,,,
BRP,Swimfit  8pm - 9pm,2018-04-04,20:00:00,-1.4824835554567934,-1.0041819963163288,-0.442569798752331,,,,,
HXP,Swimfit 6.30am -7.30am,2018-04-04,6:30:00,-1.148470608339158,-0.27655471079188704,-0.442569798752331,,,,,
HXP,Swimfit 7pm - 8pm,2018-04-04,19:00:00,-1.148470608339158,-0.6923417310915679,-0.442569798752331,,,,,
NBL,Tap Dancing 11.15-12.15pm,2018-04-04,11:15:00,1.85764591571956,-0.4844482209417275,0.18355084842977504,,,,,
TSC,Yoga 10.30-11.30am,2018-04-04,10:30:00,-0.5472473035274145,0.3471258196576344,0.18355084842977504,,,,,
BRP,Yogalates  6.30-7.30pm,2018-04-04,18:30:00,0.18758118013138322,1.1786998602569962,1.435792142793987,,,,,
BRP,Zumba 12.45-1.45pm,2018-04-04,12:45:00,0.18758118013138322,-0.06866120064204656,-0.6930180576251733,,,,,
BRP,20:20:20  10.00-11.00am,2018-04-05,10:00:00,0.18758118013138322,0.7629128399573153,-1.694811093116543,,,,,
NBL,20:20:20 9.30-10.30am,2018-04-05,9:30:00,1.85764591571956,0.45107257473255463,-1.694811093116543,,,,,
HXP,Aqua Fit 12.15 -13.15,2018-04-05,12:15:00,-0.48044471410388745,-0.4844482209417275,-1.068690445934437,,,,,
BRP,Aquafit  6.00-7.00pm,2018-04-05,18:00:00,0.18758118013138322,1.8023803907065177,-1.068690445934437,,,,,
TSC,Aquafit 7.15-8.15pm,2018-04-05,19:15:00,-0.48044471410388745,-1.62786252676585,-1.068690445934437,,,,,
TSC,Aquafit Beginners 10-11am,2018-04-05,10:00:00,-0.48044471410388745,-0.4844482209417275,-0.442569798752331,,,,,
BRP,Blt Weigh Manage,2018-04-05,12:30:00,-0.1464317669862521,-1.0041819963163288,-0.442569798752331,,,,,
BRP,Body Attack 8.00-9.00pm,2018-04-05,20:00:00,0.18758118013138322,1.6984336356315974,0.18355084842977504,,,,,
SBP,Body Balance 11-12pm,2018-04-05,11:00:00,0.18758118013138322,-0.4844482209417275,0.809671495611881,,,,,
SBP,Body Combat 10.00-11.00am,2018-04-05,10:00:00,0.5215941272490185,0.9708063501071558,-0.442569798752331,,,,,
NBL,Body Combat 5.30-6.30pm,2018-04-05,17:30:00,1.85764591571956,-0.27655471079188704,-0.442569798752331,,,,,
BRP,Body Combat 6.00-7.00pm,2018-04-05,18:00:00,0.18758118013138322,1.3865933704068367,-0.442569798752331,,,,,
NBL,Body Pump 12.30-1.30pm,2018-04-05,12:30:00,1.85764591571956,-0.6923417310915679,0.18355084842977504,,,,,
NBL,Body Pump 8.00-9.00pm,2018-04-05,20:00:00,1.85764591571956,0.8668595950322355,0.18355084842977504,,,,,
NBL,Chair Based Exercise,2018-04-05,13:00:00,1.1896200214842891,-1.62786252676585,0.18355084842977504,,,,,
TSC,Circuits 7.15-8.15pm,2018-04-05,19:15:00,1.1896200214842891,0.13923230950779392,1.435792142793987,,,,,
BRP,Fusion 5pm -6pm,2018-04-05,17:00:00,0.18758118013138322,1.3865933704068367,-1.068690445934437,,,,,
HXP,Gentle Keep Fit 11.10-12,2018-04-05,11:10:00,-0.3468395352568333,-0.1726079557169668,-1.068690445934437,,,,,
NBL,Gentlekeepfit 10.30-11.30,2018-04-05,10:30:00,1.85764591571956,0.03528555443287367,-1.068690445934437,,,,,
SBP,Hatton A B C 7-8am,2018-04-05,7:30:00,-0.8144576612215227,-1.108128751391249,0.18355084842977504,,,,,
SBP,Insanity 5:00-6:00pm,2018-04-05,17:00:00,0.18758118013138322,-0.6923417310915679,2.6880334371581993,,,,,
HXP,Jnr Gym Appoint 4-5pm,2018-04-05,16:00:00,-1.4824835554567934,-1.7318092818407702,1.435792142793987,,,,,
SBP,Metafit 4.30-5.00pm,2018-04-05,16:30:00,0.18758118013138322,-1.3160222615410895,0.18355084842977504,,,,,
NBL,Nice & Easy 11.30-12.30pm,2018-04-05,11:30:00,1.85764591571956,-0.5883949760166477,-1.068690445934437,,,,,
NBL,Pilates 14:45- 15:45,2018-04-05,14:45:00,1.85764591571956,-0.5883949760166477,1.435792142793987,,,,,
NBL,Pilates 6.45-7.45pm,2018-04-05,18:45:00,1.85764591571956,-0.4844482209417275,1.435792142793987,,,,,
HXP,Pilates 9.00-9.50am,2018-04-05,9:00:00,-0.48044471410388745,0.45107257473255463,1.435792142793987,,,,,
SBP,Pure Stretch 12.00-1.00pm,2018-04-05,12:00:00,0.18758118013138322,0.03528555443287367,-1.068690445934437,,,,,
TSC,Step 6-7pm,2018-04-05,18:00:00,-1.2152731977626852,-0.27655471079188704,0.18355084842977504,,,,,
SBP,Step Zumba 6.00-7.00pm,2018-04-05,18:00:00,-0.1464317669862521,-0.4844482209417275,0.18355084842977504,,,,,
TSC,Stroke Skill19.15-20.15pm,2018-04-05,19:15:00,-1.3488783766097394,-1.108128751391249,1.435792142793987,,,,,
HXP,Studio Cyc 10.00-10.50am,2018-04-05,10:00:00,-0.3468395352568333,0.658966084882395,0.18355084842977504,,,,,
HXP,Studio Cyc 5.00-5.50pm,2018-04-05,17:00:00,-0.3468395352568333,-0.1726079557169668,0.18355084842977504,,,,,
HXP,Studio Cyc 5.55-6.45pm,2018-04-05,17:55:00,-0.3468395352568333,0.03528555443287367,0.18355084842977504,,,,,
HXP,Studio Cyc 7.00-7.50pm,2018-04-05,19:00:00,-0.3468395352568333,0.5550193298074748,0.18355084842977504,,,,,
HXP,Studio Cyc 8.00-8.50pm,2018-04-05,20:00:00,-0.3468395352568333,0.24317906458271413,0.18355084842977504,,,,,
TSC,Swim Fit-20.15-21.15pm,2018-04-05,20:15:00,-0.9480628400685769,-0.7962884861664882,-0.442569798752331,,,,,
HXP,Tai-Chi  12 -1pm,2018-04-05,12:00:00,-0.48044471410388745,-0.9002352412414084,2.6880334371581993,,,,,
TSC,Yogalates 10.00-11.00am,2018-04-05,10:00:00,-0.5472473035274145,-0.9002352412414084,1.435792142793987,,,,,
BRP,Yogalates 11.00-12.00,2018-04-05,11:00:00,0.18758118013138322,-0.1726079557169668,1.435792142793987,,,,,
BRP,Yogalates 7.00-8.00pm,2018-04-05,19:00:00,0.18758118013138322,1.5944868805566772,1.435792142793987,,,,,
NBL,Zumba Gold 1.45-2.45pm,2018-04-05,13:45:00,1.85764591571956,0.24317906458271413,0.18355084842977504,,,,,
BRP,20:20:20  9.30-10.30am,2018-04-06,9:30:00,0.18758118013138322,0.8668595950322355,-1.694811093116543,,,,,
SBP,Aqua Babies 9.30-10.00am,2018-04-06,9:30:00,-1.4824835554567934,-1.2120755064661692,-0.442569798752331,,,,,
HXP,Aqua Fit 12.15 -13.15,2018-04-06,12:15:00,-0.48044471410388745,-0.1726079557169668,-1.068690445934437,,,,,
SBP,Aqua Tots & Babies 10.30-,2018-04-06,10:30:00,-1.4824835554567934,-1.62786252676585,-0.442569798752331,,,,,
SBP,Aqua Tots 10.00-10.30am,2018-04-06,10:00:00,-1.4824835554567934,-1.62786252676585,-1.068690445934437,,,,,
SBP,Aqua Tots 9.00-9.30am,2018-04-06,9:00:00,-1.4824835554567934,-1.5239157716909297,-1.068690445934437,,,,,
TSC,Aqua Zumba  12.00-1.00pm,2018-04-06,12:00:00,-0.48044471410388745,-0.27655471079188704,0.18355084842977504,,,,,
SBP,Aquafit  7.00-8.00pm,2018-04-06,19:00:00,-1.7496939131509017,0.13923230950779392,-1.068690445934437,,,,,
BRP,Aquafit 11.00-12.00 Noon,2018-04-06,11:00:00,0.18758118013138322,1.3865933704068367,-1.068690445934437,,,,,
TSC,Aquatots-11.00-11.45am,2018-04-06,11:00:00,-1.148470608339158,-1.2120755064661692,-1.068690445934437,,,,,
SBP,Ballroom Dance 2.30-3.30,2018-04-06,14:30:00,0.18758118013138322,-1.62786252676585,1.435792142793987,,,,,
TSC,Bar Pilate 11.30-12.30pm,2018-04-06,11:30:00,-0.5472473035274145,-0.27655471079188704,1.435792142793987,,,,,
HXP,Better Living,2018-04-06,9:00:00,0.5215941272490185,-1.7318092818407702,-0.442569798752331,,,,,
SBP,Body Balance 11-12pm,2018-04-06,11:00:00,0.18758118013138322,-0.3805014658668073,0.809671495611881,,,,,
BRP,Body Combat 5-6pm,2018-04-06,17:00:00,0.18758118013138322,0.9708063501071558,-0.442569798752331,,,,,
SBP,Body Combat 6-7.00pm,2018-04-06,18:00:00,0.18758118013138322,1.1786998602569962,-0.442569798752331,,,,,
TSC,Body Con 1.45-2.30pm,2018-04-06,13:45:00,-0.5472473035274145,-1.2120755064661692,-0.6930180576251733,,,,,
SBP,Body Cond 10-11am,2018-04-06,10:00:00,0.18758118013138322,1.1786998602569962,-0.6930180576251733,,,,,
HXP,Body Cond 12.00 - 1.00pm,2018-04-06,12:00:00,-0.48044471410388745,0.45107257473255463,-0.6930180576251733,,,,,
NBL,Body Cond 12.45-1.45pm,2018-04-06,12:45:00,1.85764591571956,-1.2120755064661692,-0.6930180576251733,,,,,
TSC,Body Conditioning 10-11am,2018-04-06,10:00:00,-0.1464317669862521,-0.3805014658668073,-0.6930180576251733,,,,,
TSC,Fitnes Pilates2.30-3.15pm,2018-04-06,14:30:00,-0.5472473035274145,-1.2120755064661692,1.435792142793987,,,,,
SBP,H.I.I.T.  5.00-6.00pm,2018-04-06,17:00:00,-0.1464317669862521,-0.3805014658668073,0.809671495611881,,,,,
BRP,H.I.T.T 6pm - 6.45pm,2018-04-06,18:00:00,0.18758118013138322,-1.0041819963163288,0.809671495611881,,,,,
HXP,Jnr Gym Appoint 4-5pm,2018-04-06,16:00:00,-1.4824835554567934,-1.7318092818407702,1.435792142793987,,,,,
BRP,Junior Gym 4.00-5.00pm,2018-04-06,16:00:00,-1.4824835554567934,-1.7318092818407702,1.435792142793987,,,,,
HXP,Junior Swimfit 7pm-8pm,2018-04-06,19:00:00,-1.8832990919979558,-1.7318092818407702,2.6880334371581993,,,,,
BRP,Legs Bums Tums 12.30-1.30,2018-04-06,12:30:00,0.18758118013138322,0.13923230950779392,0.18355084842977504,,,,,
NBL,Line Dancing  11-12.30pm,2018-04-06,11:00:00,2.5256718099548308,0.658966084882395,-0.442569798752331,,,,,
SBP,Line Dancing 1.30-2.30pm,2018-04-06,13:30:00,0.18758118013138322,-1.0041819963163288,-0.442569798752331,,,,,
NBL,Pilates 10.00-11.00am,2018-04-06,10:00:00,1.85764591571956,-0.06866120064204656,1.435792142793987,,,,,
TSC,Pilates 9.30-10.30am,2018-04-06,9:30:00,-0.5472473035274145,0.658966084882395,1.435792142793987,,,,,
NBL,Sh`Bam   6.30-7.30pm,2018-04-06,18:30:00,2.5256718099548308,2.010273900856358,-1.068690445934437,,,,,
HXP,Strokeskills 6pm - 7pm,2018-04-06,18:00:00,-1.4824835554567934,-1.2120755064661692,1.435792142793987,,,,,
BRP,Strokeskills 7.15-8.15pm,2018-04-06,19:15:00,-1.4824835554567934,-1.3160222615410895,1.435792142793987,,,,,
HXP,Studio Cyc 1.10 - 2.00pm,2018-04-06,13:10:00,-0.3468395352568333,0.9708063501071558,0.18355084842977504,,,,,
HXP,Studio Cyc 5.10-6.00pm,2018-04-06,17:10:00,-0.3468395352568333,0.24317906458271413,0.18355084842977504,,,,,
HXP,Studio Cyc 6.10-7.00pm,2018-04-06,18:10:00,-0.3468395352568333,0.24317906458271413,0.18355084842977504,,,,,
HXP,Swimfit 7pm - 8pm,2018-04-06,19:00:00,-1.148470608339158,-0.9002352412414084,-0.442569798752331,,,,,
TSC,Yoga 10.30-11.30am,2018-04-06,10:30:00,-0.5472473035274145,0.45107257473255463,0.18355084842977504,,,,,
BRP,Yogalates 10.30am,2018-04-06,10:30:00,0.18758118013138322,1.490540125481757,1.435792142793987,,,,,
HXP,20:20:20  11am -12noon,2018-04-07,11:00:00,-0.48044471410388745,-0.7962884861664882,-1.694811093116543,,,,,
